worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
6;2;What do people aim to do at work?;A;A;1;0,269;llama3,2:3b;01/01/2026 6:11;A;90;2;8871581;267559642;;;;;;;;;;;A;;;;
2;2;What do people aim to do at work?;A;A;1;0,305;llama3,2:3b;01/01/2026 6:11;A,;90;3;7287628;302013524;;;;;;;;;;;B;;;;
0;2;What do people aim to do at work?;A;A;1;0,291;llama3,2:3b;01/01/2026 6:11;A;90;2;3665074;289438355;;;;;;;;;;;C;;;;
5;2;What do people aim to do at work?;A;A;1;0,307;llama3,2:3b;01/01/2026 6:11;A,;90;3;10978511;305306849;;;;;;;;;;;D;;;;
6;3;Where would you find magazines along side many other printed works?;B;B;1;0,299;llama3,2:3b;01/01/2026 6:11;B;86;2;5755913;297237543;;;;;;;;;;;E;;;;
2;3;Where would you find magazines along side many other printed works?;B;B;1;0,293;llama3,2:3b;01/01/2026 6:11;B;86;2;3670675;291699606;;;;;;;;;;;;;;;
0;3;Where would you find magazines along side many other printed works?;B;B;1;0,295;llama3,2:3b;01/01/2026 6:11;B;86;2;3783760;292878669;;;;;;;;;;;;;;;
9;2;What do people aim to do at work?;A;A;1;0,28;llama3,2:3b;01/01/2026 6:11;A,;90;3;6824337;277726496;;worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
1;2;What do people aim to do at work?;A;A;1;0,298;llama3,2:3b;01/01/2026 6:11;A;90;2;3560946;296670153;;6;2;What do people aim to do at work?;A;A;1;0,269;llama3,2:3b;01/01/2026 6:11;A;90;2;8871581;267559642
2;4;Where are  you likely to find a hamburger?;A;A;1;0,265;llama3,2:3b;01/01/2026 6:11;A,;89;3;12924273;263171060;;2;2;What do people aim to do at work?;A;A;1;0,305;llama3,2:3b;01/01/2026 6:11;A,;90;3;7287628;302013524
5;3;Where would you find magazines along side many other printed works?;B;B;1;0,296;llama3,2:3b;01/01/2026 6:11;B;86;2;5761753;293790644;;0;2;What do people aim to do at work?;A;A;1;0,291;llama3,2:3b;01/01/2026 6:11;A;90;2;3665074;289438355
6;4;Where are  you likely to find a hamburger?;A;A;1;0,302;llama3,2:3b;01/01/2026 6:11;A,;89;3;7304479;300312205;;5;2;What do people aim to do at work?;A;A;1;0,307;llama3,2:3b;01/01/2026 6:11;A,;90;3;10978511;305306849
0;4;Where are  you likely to find a hamburger?;A;A;1;0,293;llama3,2:3b;01/01/2026 6:11;A,;89;3;7301784;291430494;;6;3;Where would you find magazines along side many other printed works?;B;B;1;0,299;llama3,2:3b;01/01/2026 6:11;B;86;2;5755913;297237543
3;2;What do people aim to do at work?;A;A;1;0,322;llama3,2:3b;01/01/2026 6:11;A,;90;3;10792884;319981327;;2;3;Where would you find magazines along side many other printed works?;B;B;1;0,293;llama3,2:3b;01/01/2026 6:11;B;86;2;3670675;291699606
7;2;What do people aim to do at work?;A;A;1;0,323;llama3,2:3b;01/01/2026 6:11;A,;90;3;9602092;321182077;;0;3;Where would you find magazines along side many other printed works?;B;B;1;0,295;llama3,2:3b;01/01/2026 6:11;B;86;2;3783760;292878669
9;3;Where would you find magazines along side many other printed works?;B;B;1;0,304;llama3,2:3b;01/01/2026 6:11;B;86;2;3452029;302029161;;9;2;What do people aim to do at work?;A;A;1;0,28;llama3,2:3b;01/01/2026 6:11;A,;90;3;6824337;277726496
1;3;Where would you find magazines along side many other printed works?;B;B;1;0,306;llama3,2:3b;01/01/2026 6:11;B;86;2;3485953;304007385;;1;2;What do people aim to do at work?;A;A;1;0,298;llama3,2:3b;01/01/2026 6:11;A;90;2;3560946;296670153
5;4;Where are  you likely to find a hamburger?;A;A;1;0,278;llama3,2:3b;01/01/2026 6:11;A;89;2;5363967;276399221;;2;4;Where are  you likely to find a hamburger?;A;A;1;0,265;llama3,2:3b;01/01/2026 6:11;A,;89;3;12924273;263171060
4;2;What do people aim to do at work?;A;A;1;0,332;llama3,2:3b;01/01/2026 6:11;A,;90;3;10992385;330371348;;5;3;Where would you find magazines along side many other printed works?;B;B;1;0,296;llama3,2:3b;01/01/2026 6:11;B;86;2;5761753;293790644
2;5;James was looking for a good place to buy farmland,  Where might he look?;D;A;0;0,301;llama3,2:3b;01/01/2026 6:11;D,;93;3;10986967;299098835;;6;4;Where are  you likely to find a hamburger?;A;A;1;0,302;llama3,2:3b;01/01/2026 6:11;A,;89;3;7304479;300312205
8;2;What do people aim to do at work?;A;A;1;0,329;llama3,2:3b;01/01/2026 6:11;A;90;2;5102214;327606183;;0;4;Where are  you likely to find a hamburger?;A;A;1;0,293;llama3,2:3b;01/01/2026 6:11;A,;89;3;7301784;291430494
6;5;James was looking for a good place to buy farmland,  Where might he look?;D;A;0;0,294;llama3,2:3b;01/01/2026 6:11;D;93;2;3692066;292273999;;3;2;What do people aim to do at work?;A;A;1;0,322;llama3,2:3b;01/01/2026 6:11;A,;90;3;10792884;319981327
0;5;James was looking for a good place to buy farmland,  Where might he look?;D;A;0;0,293;llama3,2:3b;01/01/2026 6:11;D,;93;3;7285654;291300426;;7;2;What do people aim to do at work?;A;A;1;0,323;llama3,2:3b;01/01/2026 6:11;A,;90;3;9602092;321182077
3;3;Where would you find magazines along side many other printed works?;B;B;1;0,315;llama3,2:3b;01/01/2026 6:11;B;86;2;5045613;313752703;;9;3;Where would you find magazines along side many other printed works?;B;B;1;0,304;llama3,2:3b;01/01/2026 6:11;B;86;2;3452029;302029161
7;3;Where would you find magazines along side many other printed works?;B;B;1;0,305;llama3,2:3b;01/01/2026 6:11;B;86;2;4715741;303875367;;1;3;Where would you find magazines along side many other printed works?;B;B;1;0,306;llama3,2:3b;01/01/2026 6:11;B;86;2;3485953;304007385
1;4;Where are  you likely to find a hamburger?;A;A;1;0,274;llama3,2:3b;01/01/2026 6:11;A,;89;3;6901683;272094730;;5;4;Where are  you likely to find a hamburger?;A;A;1;0,278;llama3,2:3b;01/01/2026 6:11;A;89;2;5363967;276399221
9;4;Where are  you likely to find a hamburger?;A;A;1;0,33;llama3,2:3b;01/01/2026 6:11;A,;89;3;6903526;327766285;;4;2;What do people aim to do at work?;A;A;1;0,332;llama3,2:3b;01/01/2026 6:11;A,;90;3;10992385;330371348
5;5;James was looking for a good place to buy farmland,  Where might he look?;D;A;0;0,275;llama3,2:3b;01/01/2026 6:11;D;93;2;6426859;273204812;;2;5;James was looking for a good place to buy farmland,  Where might he look?;D;A;0;0,301;llama3,2:3b;01/01/2026 6:11;D,;93;3;10986967;299098835
