worker_id;question_id;question;prediction;answer_key;correct;latency_s;model;timestamp;raw_output;prompt_tokens;gen_tokens;gen_eval_ns;total_ns
6;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.686;llama3.1:8b;2025-12-26 04:44:11;A;81;2;24742259;2682051749
0;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.709;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20126116;2703942304
18;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.727;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20033882;2724170067
15;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.749;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20173983;2745506741
4;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.772;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20073637;2767929771
1;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.794;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20164502;2789497388
16;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.813;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20177030;2810231558
12;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.835;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20154903;2831782872
8;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.858;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20821101;2854093051
19;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.878;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20286724;2875618842
5;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.901;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20130771;2897286191
17;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.921;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20116897;2917896463
3;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.944;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20125545;2939516154
7;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.965;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20192544;2960839715
14;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;2.985;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20147484;2981820528
2;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.008;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20160065;3003520845
13;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.028;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20121010;3024631526
11;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.049;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20236961;3045947539
10;1;A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?;A;A;1;3.071;llama3.1:8b;2025-12-26 04:44:11;A;81;2;20338139;3067337877
